"date","beat_start_time","consumption_kWh"
"24/12/2023","09:45",.135
"24/12/2023","10:00",.112
"24/12/2023","10:15",.089
"24/12/2023","10:30",.117
"24/12/2023","10:45",.099
"24/12/2023","11:00",.1
"24/12/2023","11:15",.097
"24/12/2023","11:30",.091
"24/12/2023","11:45",.208
"24/12/2023","12:00",.271
"24/12/2023","12:15",.093
"24/12/2023","12:30",.195
"24/12/2023","12:45",.197
"24/12/2023","13:00",.199
"24/12/2023","13:15",.123
"24/12/2023","13:30",.089
"24/12/2023","13:45",.098
"24/12/2023","14:00",.239
"24/12/2023","14:15",.199
"24/12/2023","14:30",.243
"24/12/2023","14:45",.154
"24/12/2023","15:00",.171
"24/12/2023","15:15",.165
"24/12/2023","15:30",.268
"24/12/2023","15:45",.885
"24/12/2023","16:00",.889
"24/12/2023","16:15",.915
"24/12/2023","16:30",.869
"24/12/2023","16:45",.84
"24/12/2023","17:00",.734
"24/12/2023","17:15",.731
"24/12/2023","17:30",.731
"24/12/2023","17:45",1.264
"24/12/2023","18:00",.88
"24/12/2023","18:15",.881
"24/12/2023","18:30",.549
"24/12/2023","18:45",.157
"24/12/2023","19:00",.085
"24/12/2023","19:15",.057
"24/12/2023","19:30",.063
"24/12/2023","19:45",.066
"24/12/2023","20:00",.063
"24/12/2023","20:15",.058
"24/12/2023","20:30",.094
"24/12/2023","20:45",.08
"24/12/2023","21:00",.07
"24/12/2023","21:15",.059
"24/12/2023","21:30",.069
"24/12/2023","21:45",.05
"24/12/2023","22:00",.05
"24/12/2023","22:15",.038
"24/12/2023","22:30",.052
"24/12/2023","22:45",.056
"24/12/2023","23:00",.054
"24/12/2023","23:15",.043
"24/12/2023","23:30",.047
"24/12/2023","23:45",.064
"25/12/2023","00:00",.05
"25/12/2023","00:15",.044
"25/12/2023","00:30",.042
"25/12/2023","00:45",.053
"25/12/2023","01:00",.053
"25/12/2023","01:15",.042
"25/12/2023","01:30",.04
"25/12/2023","01:45",.052
"25/12/2023","02:00",.05
"25/12/2023","02:15",.045
"25/12/2023","02:30",.044
"25/12/2023","02:45",.053
"25/12/2023","03:00",.06
"25/12/2023","03:15",.05
"25/12/2023","03:30",.037
"25/12/2023","03:45",.049
"25/12/2023","04:00",.052
"25/12/2023","04:15",.045
"25/12/2023","04:30",.039
"25/12/2023","04:45",.054
"25/12/2023","05:00",.047
"25/12/2023","05:15",.046
"25/12/2023","05:30",.039
"25/12/2023","05:45",.051
"25/12/2023","06:00",.049
"25/12/2023","06:15",.828
"25/12/2023","06:30",.757
"25/12/2023","06:45",.168
"25/12/2023","07:00",.171
"25/12/2023","07:15",.15
"25/12/2023","07:30",.098
"25/12/2023","07:45",.111
"25/12/2023","08:00",.114
"25/12/2023","08:15",.116
"25/12/2023","08:30",.106
"25/12/2023","08:45",.117
"25/12/2023","09:00",.146
"25/12/2023","09:15",.13
"25/12/2023","09:30",.103
"25/12/2023","09:45",.311
"25/12/2023","10:00",.154
"25/12/2023","10:15",.055
"25/12/2023","10:30",.058
"25/12/2023","10:45",.241
"25/12/2023","11:00",.302
"25/12/2023","11:15",.107
"25/12/2023","11:30",.035
"25/12/2023","11:45",.058
"25/12/2023","12:00",.048
"25/12/2023","12:15",.032
"25/12/2023","12:30",.039
"25/12/2023","12:45",.049
"25/12/2023","13:00",.043
"25/12/2023","13:15",.033
"25/12/2023","13:30",.042
"25/12/2023","13:45",.044
"25/12/2023","14:00",.043
"25/12/2023","14:15",.131
"25/12/2023","14:30",.059
"25/12/2023","14:45",.096
"25/12/2023","15:00",.113
"25/12/2023","15:15",.122
"25/12/2023","15:30",.103
"25/12/2023","15:45",.101
"25/12/2023","16:00",.138
"25/12/2023","16:15",.133
"25/12/2023","16:30",.232
"25/12/2023","16:45",.494
"25/12/2023","17:00",1.259
"25/12/2023","17:15",1.057
"25/12/2023","17:30",.637
"25/12/2023","17:45",.133
"25/12/2023","18:00",.161
"25/12/2023","18:15",.114
"25/12/2023","18:30",.059
"25/12/2023","18:45",.048
"25/12/2023","19:00",.059
"25/12/2023","19:15",.09
"25/12/2023","19:30",.115
"25/12/2023","19:45",.164
"25/12/2023","20:00",.108
"25/12/2023","20:15",.091
"25/12/2023","20:30",.082
"25/12/2023","20:45",.087
"25/12/2023","21:00",.093
"25/12/2023","21:15",.089
"25/12/2023","21:30",.462
"25/12/2023","21:45",.795
"25/12/2023","22:00",.91
"25/12/2023","22:15",.809
"25/12/2023","22:30",.804
"25/12/2023","22:45",.138
"25/12/2023","23:00",.094
"25/12/2023","23:15",.087
"25/12/2023","23:30",.071
"25/12/2023","23:45",.062
"26/12/2023","00:00",.1
"26/12/2023","00:15",.047
"26/12/2023","00:30",.048
"26/12/2023","00:45",.05
"26/12/2023","01:00",.055
"26/12/2023","01:15",.063
"26/12/2023","01:30",.039
"26/12/2023","01:45",.05
"26/12/2023","02:00",.051
"26/12/2023","02:15",.047
"26/12/2023","02:30",.042
"26/12/2023","02:45",.052
"26/12/2023","03:00",.053
"26/12/2023","03:15",.042
"26/12/2023","03:30",.042
"26/12/2023","03:45",.055
"26/12/2023","04:00",.053
"26/12/2023","04:15",.053
"26/12/2023","04:30",.045
"26/12/2023","04:45",.053
"26/12/2023","05:00",.048
"26/12/2023","05:15",.037
"26/12/2023","05:30",.047
"26/12/2023","05:45",.053
"26/12/2023","06:00",.066
"26/12/2023","06:15",.757
"26/12/2023","06:30",.772
"26/12/2023","06:45",.072
"26/12/2023","07:00",.067
"26/12/2023","07:15",.068
"26/12/2023","07:30",.178
"26/12/2023","07:45",.063
"26/12/2023","08:00",.046
"26/12/2023","08:15",.045
"26/12/2023","08:30",.035
"26/12/2023","08:45",.042
"26/12/2023","09:00",.047
"26/12/2023","09:15",.05
"26/12/2023","09:30",.038
"26/12/2023","09:45",.04
"26/12/2023","10:00",.048
"26/12/2023","10:15",.05
"26/12/2023","10:30",.05
"26/12/2023","10:45",.04
"26/12/2023","11:00",.052
"26/12/2023","11:15",.048
"26/12/2023","11:30",.034
"26/12/2023","11:45",.041
"26/12/2023","12:00",.091
"26/12/2023","12:15",.196
"26/12/2023","12:30",.144
"26/12/2023","12:45",.114
"26/12/2023","13:00",.093
"26/12/2023","13:15",.083
"26/12/2023","13:30",.101
"26/12/2023","13:45",.082
"26/12/2023","14:00",.087
"26/12/2023","14:15",.06
"26/12/2023","14:30",.061
"26/12/2023","14:45",.057
"26/12/2023","15:00",.045
"26/12/2023","15:15",.06
"26/12/2023","15:30",.075
"26/12/2023","15:45",.154
"26/12/2023","16:00",.105
"26/12/2023","16:15",.157
"26/12/2023","16:30",.145
"26/12/2023","16:45",.205
"26/12/2023","17:00",.192
"26/12/2023","17:15",.159
"26/12/2023","17:30",.19
